[2026-06-08T22:43:36.773Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, ?B)
[2026-06-08T22:43:37.576Z] GET http://localhost:8765/index.html → 200 (1ms, 42137B)
[2026-06-08T22:43:37.579Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700;800&display=swap → 200 (?ms, 8460B)
[2026-06-08T22:43:37.580Z] GET http://localhost:8765/assets/site.css → 200 (?ms, 6715B)
[2026-06-08T22:43:37.580Z] GET http://localhost:8765/assets/logo-mark.png → 200 (?ms, 117064B)
[2026-06-08T22:43:37.580Z] GET http://localhost:8765/assets/logo.png → 200 (?ms, 713560B)
[2026-06-08T22:43:37.580Z] GET http://localhost:8765/assets/site.js → 200 (?ms, 1987B)
[2026-06-08T22:43:37.581Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, ?B)
[2026-06-08T23:05:32.791Z] GET http://localhost:8765/index.html → 200 (2ms, 42185B)
[2026-06-08T23:05:32.803Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700;800&display=swap → 200 (1ms, 8460B)
[2026-06-08T23:05:32.804Z] GET http://localhost:8765/assets/site.css → 304 (?ms, ?B)
[2026-06-08T23:05:32.804Z] GET http://localhost:8765/assets/logo-mark.png → 304 (?ms, ?B)
[2026-06-08T23:05:32.804Z] GET http://localhost:8765/assets/logo.png → 304 (?ms, ?B)
[2026-06-08T23:05:32.804Z] GET http://localhost:8765/assets/site.js → 304 (20ms, ?B)
[2026-06-08T23:05:32.824Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, ?B)
